title,brand,Category,Sub_Category,Column1,Column2,description
24 in. Commercial System Microfiber Dust Mop Pad,Bona,,,,,"Bona Commercial System Microfiber Dry Dusting Pad meets the expectations of daily dusting of multi-surface floors performed by professionals. It uses special short and long fibers with an electrostatic charge to trap and remove dust, pet hair, dirt and debris, microparticles and common allergens quickly and safely from floors. Follow up with the Bona Commercial System Hardwood or Hard-Surface Floor Cleaners and the Bona Commercial System Multi-Surface Floor Care Mop."
12 in. 300 mm Right Angle Heavy-Duty Carpenters Square,WEN,,,,,"Remember when you could keep things square. Make your angles just right with the WEN Right Angle Carpenters Square. This helpful tool allows users to create precise measurements with accurate 90Â° angles, providing options for both metric and imperial scales. Aluminum steel framing prevents warping and bending over time while creating a perfectly flat surface that stays flush with your workpiece. Laser engraved scales ensure maximum accuracy during operation, with a punched hole for easy storage between uses. Grooved profiles at the base of the square add strength to the design and provide an overhang that slides easily back and forth along the edge of your project. Remember when you had all the right angles. Remember WEN."
5 lb. Zeolite All-Natural Filter Rocks,Pure Nature Pets,,,,,"Poseidon Filter Rocks protects your fish and enhances biological filtration of aquariums and ponds by organically removing ammonia and harmful toxins. Our filter rocks are a natural filtration product made from an organic mineral called Zeolite. Put Nature to Work in your home, your pets will thank you."
Meridian Indigo Stainless Steel Bottle Opener,Unbranded,,,,,"Pry open a bottle cap within minutes and keep the drinks flowing using the Meridian Stainless Steel Bottle Opener. Perfectly sized the smooth touch handle provides leverage while opening even the most toughest bottle. The handle features a cut-out hole for you to easily hang inside your cupboard so you don't have to spend so much time digging through a drawer to access this convenient tool. With its handheld design, you take with you to picnics and camping trips or pass along to guest at your next backyard BBQ party. Boasting a contemporary shape and classic finish, this modern bottle opener blends function and elegant style. Use everyday or for special occasions. The bottle opener also makes a wonderful housewarming, birthday, and wedding gift for friends and family. To clean the unit simply hand wash with warm and use gentle soap. Dry thoroughly with a soft towel. Item dimensions may differ slightly due to the unique nature of the product. Color and finish may also differ due to differences in monitor displays. Props and accessories are not included."
Brake Hydraulic Hose - Rear Outer,Sunsong,,,,,Sunsong brake hydraulic hose's built a reputation in the automotive industry for quality and craftmanship. We manufacture brake hydraulic hose's for virtually every automobile on the road today. Sunsong brake hydraulic hose's are available for on and off road use and are designed for all weather conditions.
21 mm Combination Wrench Polished,Powerbuilt,,,,,"Powerbuilt wrenches are built to last forever. This 12.37 in. metric combination wrench is no exception, featuring ultra-strong chrome vanadium steel forged to exacting specifications. The mirror polished handle offers great balance and feel and is truly a pleasure to use."
White Wireless RC Switch,Light It!,,,,,"Up to 20 Remote Control Lights can be linked to this switch. It can be programmed to work in existing sets, or used in up to eight different ones. It operates up to 60 ft., penetrates walls, and automatically shuts off the lights if they are inadvertently left on. This switch uses 2 AAA batteries (not included) and ONLY works with other Light It! by Fulcrum wireless RC lights."
10 in. Blue Steel Taping Knife with Plastic Handle,Level 5,,,,,"Level 5 hand tools have been built with 20-years of feedback and input from professional finishers. Built to last with industry leading designs and high-quality materials and workmanship, these tools perform like no other. Level 5 Tools are OVER-BUILT, NOT OVER PRICED and will exceed expectation on any drywall job. Level 5 ft. 1-year warranty."
Radiator Coolant Hose,Gates,,,,,"Gates Molded Coolant Hose is manufactured to fit specific applications. Similar to OEM specifications. Approved for marine applications.Recommend for upper, lower, by-pass, heater and other coolant hose applications.Heat and ozone resistant cover.Engineered to resist electrochemical degradation - the leading cause of hose failure.Re-engineered materials resist vacuum collapse. This reduces the need for internal springs in many applications.Meets SAE 20R4 and 20R3 Type EC Class D-1 and D-2 specifications.Temperature Rating: -40Â° F to 275Â° F (-40Â° C to 135Â° C) in coolant hose applications.Note: Gates recommends replacing standard worm drive and spring loaded clamps with Gates PowerGrip SB Clamps each time a new coolant hose is installed.Gates - Driven By Possibility"
Explorer Paris 12.6 in. x 12.64 in. x 8mm Porcelain Mesh-Mounted Mosaic Tile (1.1 sq. ft.),EMSER TILE,,,,,"Explorer artfully incorporates the look of reclaimed wood and stone, providing an urban feel. Due to its composition, Explorer is a versatile tile that may be installed indoors or outdoors, on shower walls and shower floors. Suitable for residential and commercial use."
3.5 in. Paring Knife,Home Basics,,,,,"Cut and prepare food like a pro with this cooking knife. It features stainless steel blades for a razor sharp. The non-slip and ergonomic handle make it easy to use. WIth a sleek design, it's both eye catching and an essential kitchen tool you'll cherish for years to come."
Radiator Coolant Hose,Gates,,,,,"Gates Molded Coolant Hose is manufactured to fit specific applications. Similar to OEM specifications. Approved for marine applications.Recommend for upper, lower, by-pass, heater and other coolant hose applications.Heat and ozone resistant cover.Engineered to resist electrochemical degradation - the leading cause of hose failure.Re-engineered materials resist vacuum collapse. This reduces the need for internal springs in many applications.Meets SAE 20R4 and 20R3 Type EC Class D-1 and D-2 specifications.Temperature Rating: -40Â° F to 275Â° F (-40Â° C to 135Â° C) in coolant hose applications.Note: Gates recommends replacing standard worm drive and spring loaded clamps with Gates PowerGrip SB Clamps each time a new coolant hose is installed.Gates - Driven By Possibility"
4 in. Riser Clamp in Electro Galvanized Steel,The Plumber's Choice,,,,,"The Plumbers Choice proudly presents to you a broad range of pipe hangers, supports and related accessories to assist you with your plumbing HVAC and fire protection pipe installations. This Riser Clamp is the ideal choice for supporting vertical pipe runs throughout your building. Clamped around the pipe tightly and resting on the floor penetration at each floor level, it supports, restrains and transfers the pipe load to the building structure. We at The Plumbers Choice are proud to anchor your pipes with unmatched security."
Alfresco Black Palm Leaf Black Wallpaper Sample,A-Street Prints,,,,,"This black and white palm leaf wallpaper is a perfect modern take on a classic print. The white linen print background adds extra dimension. Alfresco is a non woven, unpasted wallpaper."
Rogue Multicolor Concrete Texture Gold/Teal Wallpaper Sample,Brewster,,,,,"Industrial with a modern twist, this wallpaper is made to resemble concrete. With a textured pattern, the aqua tones and gold of this colorway make for a truly unique design. Rogue is an unpasted, non woven wallpaper."
Lincolnshire Brick Paintable Luxury Vinyl White & Off-White Wallpaper Sample,Anaglypta,,,,,Exposed brick is chic and timeless. Design your own industrial style loft or fashion your own modern kitchen with this beautiful brick paintable. That can be left as is or painted in the color of your choice.
Kipling Silver Diamond Plate Silver Wallpaper Sample,Chesapeake,,,,,"The ultimate design for the manly man, this diamond plate Wallcovering brings a fascinating texture to walls that glisten ever so slightly with a chic pearlescent finish. Textured wallpaper adds depth and brings intrigue to any space. Our gorgeous collection of masculine wallpaper prints are designed to bring a classy and manly touch to any space."
Jayne Taupe Vertical Shimmer Taupe Wallpaper Sample,Brewster,,,,,"Give your walls a modern look with this vertical stripe wallpaper. The design has a silken finish. Printed on a fabric backed vinyl, this wallpaper is perfect for high traffic areas."
Reale Navy Stone Navy Wallpaper Sample,Engblad & Co,,,,,"Dark and mysterious, this faux stone wallpaper has beautiful shimmering details. Its rich navy hue and distressed pattern reinforces its moody feel. Real is an unpasted, non-woven wallpaper."
3/16 in. Wire Rope Thimble in Zinc-Plated (10-Pack),Hardware Essentials,,,,,"Thimbles provide a means for connecting rope to attachments, it creates a loop at wire rope ends. Zinc-plated standard duty thimbles are good for the light duty rigging applications. Ideally suited for indoor or low-corrosive environments."
Take Home Tile Sample - Praia Crema 6 in. x 6 in. Matte Porcelain Paver Tile (0.25 sq. ft.),MSI,,,,,"MSI's Praia Crema 6 in. x 6 in. x 0.79 in. Porcelain Paver sets your residential or light commercial project apart from the rest. Featuring gorgeous gray hues, its realistic grains and knots are reminiscent of fine natural hardwood. This large format, square porcelain paver can withstand freeze thaw cycles, making it suitable for most residential and light commercial outdoor flooring applications. Additionally, it's slip resistant and its color and design won't fade overtime. Easy to install, stain resistant and low-maintenance, this porcelain paver is a top choice for those who want designer style without sacrificing practicality. Sand set it or place it directly on grass for a casual look or install with mortar over a concrete bed to achieve a more formal feel. Recommended for both interior and exterior design projects including floors, paths, driveways, pool areas and patios, this multitalented porcelain paver is a trend-setting design solution. Wood look porcelain pavers are incredibly popular and this one's no exception."
1 qt. Bermuda Sand PPG1074-3 Flat Interior Latex Paint,Glidden Premium,,,,,"This Glidden Exterior Latex Paint can be tinted to create a durable exterior paint in whatever color you prefer. It has a fade-resistant, 100% acrylic-latex formula that's great for application on exterior siding, brick, masonry and stucco. It offers protection against UV rays, mildew and severe weather conditions."
1 qt. PPG1046-2 Magic Moments Flat Interior Paint,Glidden Premium,,,,,"Glidden Premium flat interior paint and primer offers exceptional value and a quality finish that helps beautify your low-traffic spaces such as dining rooms, master bedrooms and formal areas. Glidden Premium is a Zero VOC, Low Odor paint and primer that features good hide and coverage, a scrubbable and washable coating and a thick, easy to apply formula all backed by a Lifetime Guarantee. Glidden Premium provides a mildew resistant coating that can be tinted into more than 1,100 Glidden colors and is formulated for lasting results, often for less than other leading brands. For more than 140 years, painters have trusted Glidden and Glidden paints to help them achieve the smart, beautiful results and Glidden Premium delivers on this tradition with a durable finish at an exceptional value. Colorants added to this base paint may increase VOC level significantly depending on color choice."
1 qt. PPG1039-6 In The Shadows Flat Interior Latex Paint,Glidden Premium,,,,,"Glidden Premium flat interior paint with primer offers exceptional value and a quality finish that helps beautify your low-traffic spaces such as dining rooms, master bedrooms and formal areas. Glidden Premium is a Zero VOC, Low Odor paint with primer that features good hide and coverage, a scrubbable and washable coating and a thick, easy to apply formula all backed by a Lifetime Guarantee. Glidden Premium provides a mildew resistant coating that can be tinted into more than 1,100 Glidden colors and is formulated for lasting results, often for less than other leading brands. For more than 140 years, painters have trusted Glidden and Glidden paints to help them achieve the smart, beautiful results and Glidden Premium delivers on this tradition with a durable finish at an exceptional value. Colorants added to this base paint may increase VOC level significantly depending on color choice."
1/2 in. Drive 1-1/4 in. Deep 6-Point Impact Socket,Husky,,,,,Husky 1/2 in. drive Impact Sockets are manufactured from chrome molybdenum alloy steel and designed to withstand rigors of heavy-duty use. Size markings have been hard stamped into the sockets for quick and easy identification that will never wear away. Each socket features chamfered lead-ins on both ends allowing for easy attachment to drive tools and placement onto fasteners.
"Trailer Brake Controller Harness, Select Ford F-250, F-350, F-450, F-550",CURT,,,,,"It takes a lot of power to stop a moving trailer, especially when that trailer is hauling livestock, construction materials, industrial equipment or other heavy-duty cargo. Play it safe when you tow and give your trailer brakes the control they need with a CURT trailer brake controller and brake control harness. CURT quick plug brake control harnesses make the installation of your brake controller literally a snap. They are designed to allow your brake control to plug directly into your vehicle's power system using an original equipment connector. They are equipped with 2 plugs -1 that snaps into your vehicle's original equipment socket and the other that connects to any CURT brake controller, including Venture, Discovery, Reflex and TriFlex. CURT quick plug harnesses install in less than 10-minutes to get you setup and on your way with time to spare. They include2 ft. of wire and a slit loom sleeve to keep wires well protected and contained. This brake control adapter harness is compatible with certain Ford Bronco full-size SUVs and Ford F-Series full-size trucks. For a complete listing of vehicle compatibility, see the CURT application guide."
SAMPLE - 1/2 in. x 12 in. x 3-7/8 in. Urethane Swindon Chair Rail Moulding,Ekena Millwork,,,,,"Our beautiful chair rail adds a decorative, historic, feel to walls, ceilings and furniture pieces. They are made from a high density urethane which gives each piece the unique details that mimic that of traditional plaster and wood designs, but at a fraction of the weight. This means a simple and easy installation for you. These are also commonly used for an inexpensive wainscot look."
LED Mini Rope Light,Hampton Bay,,,,,"The 38 ft. LED Rope Light has 120 small LEDs that provide a nice bright light. Their flexible design allows for endless uses such as bending and twisting around objects. Ideal for patios, decks, trees, railings, and whatever else you can imagine!"
Power Steering Return Hose - Pump To Reservoir,Sunsong,,,,,Sunsong power steering return hose's built a reputation in the automotive industry for quality and craftmanship. We manufacture power steering return hose's for virtually every automobile on the road today. Sunsong power steering return hose's are available for on and off road use and are designed for all weather conditions.
Duracell - 2032 3V Lithium Coin Battery - with bitter coating - 4 count,Duracell,,,,,"Get the reliable performance you need for your critical medical devices. High capacity, low self-discharge for longer service life. Longer-lasting to increase productivity."
3-23/32 in. (94.3 mm) Black Decorative Hook,Richelieu Hardware,,,,,Jazz up any surface with this classic metal hook. A small detail makes a big impact. Mounting hardware included for easy installation.
Spiral Cable Bike Lock,M-Wave,,,,,"The M-Wave Spiral Cable Lock is a great, affordable key lock. Comes with a coiled design, dust cap and attachment bracket. M-Wave Locks and Security Products are designed with the daily commuter in mind."
1.88 in. x 30 yds. Tough Heavy-Duty All-Weather Duct Tape,Scotch,,,,,"Scotch All-Weather Duct Tape is equipped with high tensile strength technology only available from 3M. This tape has a durable waterproof backing and resists weathering in sun, wind, and moisture. Scotch Tough Heavy-Duty All-Weather Duct Tape hand tear's easily and applies smoothly. This heavy-duty duct tape is designed for long-term exterior repairs. Scotch Tough Heavy-Duty All-Weather Duct Tape is also good for bundling and repairing outdoor items."
Hot Dipped Galvanized Steel Lateral Anchor System for Deck to Ledger Connections and Stair Stringers,DeckLok,,,,,The patented DeckLok Advanced Lateral Anchor is revolutionizing the deck industry. Providing a bolted connection at all critical structural locations. This system achieves the strength required to meet or exceed existing building codes for lateral pullout and guardrail post stability using standard construction designs and techniques.
8d x 2-1/2 in. Multi-Purpose Stainless Steel Ring Shank Nails (75-Pack),Simpson Strong-Tie,,,,,"When working in harsh environments, building professionals count on Simpson Strong-Tie for one of the largest selection of Type 316 stainless-steel fasteners on the market. Our unmatched selection of Type 316 stainless-steel products, including many Strong-Drive and Deck-Drive fasteners, offers the highest level of corrosion resistance. When you need stainless, Simpson Strong-Tie is your convenient, one-stop source for fasteners that stand the test of time and the elements."
Clutch Pilot Bushing,Unbranded,,,,,"Dorman's Clutch Pilot Bushing extends the life of the transmission and helps ensures smooth, reliable shift quality. Replacement recommended during clutch replacement. All Dorman products are engineered in the United States and backed by 100 years of automotive aftermarket experience. Our solutions are thoroughly tested and inspected, and if you experience any difficulty installing or using our parts, we have a dedicated technical support team of ASE Blue Seal certified professionals ready to help. To learn more about our quality and innovation, visit DormanProducts.com."
Brake Hydraulic Hose - Rear Right,Sunsong,,,,,Sunsong brake hydraulic hose's built a reputation in the automotive industry for quality and craftmanship. We manufacture brake hydraulic hose's for virtually every automobile on the road today. Sunsong brake hydraulic hose's are available for on and off road use and are designed for all weather conditions.
12 in. x 96 in. HD Dual Water Tube,Swimline,,,,,Swimline 12 in. x 96 in. Dual Water Tube HD uses vinyl material which is puncture resistant. Blue tube has a valve which makes it easy to fill with a garden hose and will not leak. It will secure your pool cover in place. Do not fill the tube more than halfway.
3/4 in. Hole Dozer Bi-Metal Hole Saw,Milwaukee,,,,,"The Milwaukee Hole Dozer Hole Saw features Rip guard, the strongest tooth form in the industry, backed by the Rip guard limited lifetime tooth break warranty. Each tooth is built with more steel behind the cutting edge for added strength. The Rip Guard warranty on tooth breaks is a first for the hole saw industry. The added tooth strength along with 8% cobalt give added life to the teeth, allowing for increased productivity on the jobsite, as well as continued hole quality. The Hole Dozer includes Plug Jack, an all access slot design that allows for full access during plug removal. The Plug Jack gives access lower into the cup for thick material and higher towards the teeth for thin material. With multiple positions to apply leverage and better plug access, Plug Jack increases productivity and eliminates wasted downtime between holes. For fast, tool-free change-outs, use Milwaukee's universal Quick-Change Arbors. 49-56-7210."
Interior Door Handle 1998-2002 Toyota Corolla 1.8L,Unbranded,,,,,"Want a new interior door handle that matches the original, for far less than going back to the dealership? This replacement door handle was engineered to match the fit and appearance of the stock handle on specific vehicle years, makes and models. All Dorman products are engineered in the United States and backed by 100 years of automotive aftermarket experience. Our solutions are thoroughly tested and inspected, and if you experience any difficulty installing or using our parts, we have a dedicated technical support team of ASE Blue Seal certified professionals ready to help. To learn more about our quality and innovation, visit DormanProducts.com."
Men's Medium General Purpose Gloves,Stanley,,,,,"Designed to fit like a second skin, Stanley offers the General Purpose Touch Screen glove. This digital polyurethane palm is designed with you in mind. The palm's foam padding provides increased grip and comfort and its stretch spandex back will allow your hands to breathe. Stanley has also gifted these gloves with conductive tips on the index finger and thumb, making it touch screen friendly."
Safety Glasses Dominator with Brown Gradient Lens,DEWALT,,,,,"Dewalt Dominator Safety Glass, Modern Styling Meets High Impact Protection. Stylish, comfortable and made to fit a wide range of face shapes and sizes. Polycarbonate Lens for impact resistance. All lenses provide 99.9% UV protection."
Rib Ace Precision Engineered V-Ribbed Belt - Air Conditioning,Bando,,,,,Bando serpentine belt's built a reputation in the automotive industry for quality and craftmanship. We manufacture serpentine belt's for virtually every automobile on the road today. Bando serpentine belt's are available for on and off road use and are designed for all weather conditions.
O Ring for Valve Adapter,Preval,,,,,"Preval designed their vFan airbrush to make replacement easy. The right O-rings for your vFan maintain a proper seal, helping to keep the valves in place, the handles snug and the air leaks non-existent. Keep your projects running smoothly by having some Preval Airbrush O-rings on hand."
"Front Inner Wheel Seal fits 1962-1980 GMC Jimmy C15/C1500 Pickup C15/C1500 Pickup,C15/C1500 Suburban",Timken,,,,,"The Timken Company engineers, manufactures and markets bearings, gear drives, belts, chain, couplings, lubrication systems and related products, and offers a spectrum of powertrain rebuild and repair services. As the leading authority on tapered roller bearings, we apply our deep knowledge of metallurgy, tribology and mechanical systems to improve the reliability and efficiency of equipment, machinery and vehicles worldwide. With more than 15,000 employees operating from 33 countries, our associates and our products keep industry in motion and make the world more productive."
1.89 in. x 60 yd. 398 All-Weather HVAC Duct Tape in White,Nashua Tape,,,,,"Professional results that a DIYer can be proud of begins with 398 All-Weather Duct Tape by Nashua. At 11 mils thick, this duct tape offers durability and excellent outdoor performance in all weather conditions. Great for challenging household maintenance and repairs. Nashua Tape. Trusted by professionals. DIY approved. Count on Nashua to get the job done right."
#8 x 1/2 in. Phillips Pan Head Zinc Plated Sheet Metal Screw (100-Pack),Everbilt,,,,,"Sheet metal screws are an essential fastener for working with thinner metal. Sometimes used with fiberglass, wood, or plastic. These coarse threaded screws are available with a self tapping or self drilling point. Sheet metal screws come in a variety of head types, finishes, and drive styles to match the needs of your project."
WM 376 11/16 in. x 2-1/4 in. x 84 in. Primed Finger-Jointed Door and Window Casing,Woodgrain Millwork,,,,,The Woodgrain Millwork 11/16 in. x 2-1/4 in. x 84 in. WM376 Primed Finger-Jointed Casing is used around doors and windows to cover the gaps between the frames and walls. Primed Finger-Jointed WM376 Casing is the finishing touch on any window and door. You can combine casing with a backband to create a bold one of kind look.
Brake Hydraulic Hose 1999-2000 Ford Windstar,Raybestos Brakes,,,,,"Element3 brake products deliver a new level of control and confidence to drivers. Our premium brake line delivers what you've come to expect from The Best in Brakes with the addition of upgraded product attributes.The Element3 line establishes Raybestos as leading innovators in the aftermarket brake industry. With the Raybestos Element3 Line, you can expect a full selection of premium brake components for complete braking system coverage.Raybestos Element3 brake and clutch hoses offer a complete line of top-quality automotive hose products. Our hoses meet Federal Standards to ensure performance and safety, for a longer hose life, exceptional durability, and ease of installation.Our hoses include all features found in the OE brake hose: brackets, grommets, molded plastic guards, and wire clips are all provided in the box. They employ double-crimped end fittings in premium alloy steel or brass for an excellent hydraulic seal, longer life, and exceptional durability."
Assorted Self-adhesive Felt Pads (33-Multipack),Richelieu Hardware,,,,,"Feltac felt pads provide the best combination of softness, sticking power, durability, thickness, stability and color. The original, the best in floor protection. Sold in sets of 33 items."
3/4 in. x 5 in. x 10 in. PVC Standard Foster Plinth Block Moulding with Square Edge,Ekena Millwork,,,,,"Upgrade your trim quickly and easily with professional looking results. Use our plinth blocks as a decorative addition to any doorway moulding and casing. Used as a transition piece or base block, they are easy to install and create a professional finished look."
Versatile 44 in. x 0.5 in. Satin Black Single Knuckle Hollow Wrought Iron Baluster,HOUSE OF FORGINGS,,,,,The Single Knuckle Wrought Iron Baluster is used in the railing system in your residential staircase project. This product is used in combination with our other Versatile style iron balusters to complete your modern style stair remodel. The typical baluster swap stair remodel can be completed within one day.
Long Island 5 in. Satin Gold with Black Crystal Cabinet Center-to-Center Pull,Wisdom Stone,,,,,"This design offers a more classic look, yet seamlessly ties in the signature glitzy style of Wisdom Stone products. Named after its long, slender body, the Long Island has a sleek feel and would be a great addition to your favorite piece of furniture.Â This product comes in two lengths: 96 mm (3-3/4 in.) and 128 mm (5 in.)."
Disc Brake Pad Drag Reduction Clip,Raybestos Brakes,,,,,Raybestos Brakes disc brake pad drag reduction clip's built a reputation in the automotive industry for quality and craftmanship. We manufacture disc brake pad drag reduction clip's for virtually every automobile on the road today. Raybestos Brakes disc brake pad drag reduction clip's are available for on and off road use and are designed for all weather conditions.
Monticello Handle Adapter Kit,MOEN,,,,,"The Moen handle adapter kit fits the Monticello bath faucets. It fits centerset, mini-wide, and roman tub applications. Quickly replace a broken or worn adapter with a service kit rather than replacing the entire handle assembly or full product."
0.95 oz. 120 in. x 120 in. Rectangle Warm Worth Frost Blanket Shrub Jacket Plant Cover for Frost Protection,Agfabric,,,,,"Agfabric Plant cover made with high quality UV stabilized spun polypropylene fabric which have different thickness offering a greenhouse with different temperatures for application in each state. The weight value going up, the fabric more thicker, then keep more higher temperatures. To meet different people's application requirements, we gradually have more innovative designs in shape."
"7 in. O.D. Plumbfit ABS Closet (Toilet) Flange w/Metal Ring & Knockout, Fits Over 3 in. or Inside 4 in. Sch 40 DWV Pipe",JONES STEPHENS,,,,,The JONES STEPHENS 3 in. x 4 in. Plumbfit Closet Flange includes an adjustable metal ring. It fits over 3 in. or inside 4 in. Schedule 40 DWV pipe. The flange includes 2 radial slots for closet bolts. For toilet applications.
Fuel Injection Plenum Gasket Set,FEL-PRO,,,,,Fel-Pro gaskets offer 100% vehicle sealing with application-specific materials to give you sealing solutions with the performance and durability professionals trust Fel-Pro fuel injection plenum gasket set's built a reputation in the automotive industry for quality and craftmanship. We manufacture fuel injection plenum gasket set's for virtually every automobile on the road today. Fel-Pro fuel injection plenum gasket set's are available for on and off road use and are designed for all weather conditions.
3/4 in. x 6 in. x 4 in. Standard Dalton Bullseye Rosette with Beveled Edge Moulding,Ekena Millwork,,,,,"Upgrade your trim quickly and easily with professional looking results. Use our rosettes as a decorative addition with any window or doorway moulding and casing. Used as a transition piece or corner block, they are easy to install and eliminate the need to miter difficult angles on moulding."
Modern Hammered 4 in. or 5-1/16 in. (102 mm or 128 mm) Polished Nickel Dual Mount Drawer Pull,Liberty,,,,,"From Liberty, the Modern Hammered 4 in. or 5-1/16 in. dual mount drawer pull blends artisanship with contemporary style, perfect for your kitchen or bathroom cabinets. The subtle hammered texturing merged with sleek bold lines gives your cabinets a modern, yet approachable look and feel. A knob and additional dual mount pull lengths are available in this collection."
1/2 in. x 7 in. x 4 3/4 in. Standard Dalton Bullseye Rosette with Beveled Edge Moulding,Ekena Millwork,,,,,"Upgrade your trim quickly and easily with professional looking results. Use our rosettes as a decorative addition with any window or doorway moulding and casing. Used as a transition piece or corner block, they are easy to install and eliminate the need to miter difficult angles on moulding."
13-1/2 in. 240-Volt x 4500-Watt Straight Water Heater Element - Normal Duty,Eastman,,,,,This EZ-FLO water heater element - normal duty can be used as a replacement with the same wattage and voltage as those being replaced. This element is the most commonly used in most water heaters. Do not exceed the rating listed on the water heater.
"2.25 in. Heavy Duty Hook Blade for Carpet Knives, Trimmers and Cutters (10-Pack)",Roberts,,,,,"Roberts series of replacement blades for carpet tools are known for professional quality. Roberts blades are available for carpet knives, trimmers and cutters. All blades are precision sharpened for precise cutting. Made of high quality steel to extremely tight tolerances to ensure fit in tools is perfect."
4 in. Aged Bronze Flush Mount Self-Adhesive House Number 6,Everbilt,,,,,"Ideal for homes and businesses, the 4 in. Aged Bronze Adhesive Number 6 can be used with the Everbilt Address Plaque (not included). It can also be mounted on other hard non-porous surfaces, including metal and glass. This stylish number is constructed of metal with a smooth aged bronze metallic finish."
8 in. Chrome Drip Bowl for GE Electric Ranges,Everbilt,,,,,"The Everbilt 8-inch chrome drip bowl is a replacement part part designed to catch drips that occur while cooking, keeping your range clean. It is is compatible with most plug-in GE and Hotpoint ranges. Replacing the drip bowls of your stove regularly will give it a renovated appearance, while improving your cooking results with more even heating. The chrome finish of the drip bowl enhances heating reflectivity, which directly affects the preparation of your meals. The ring and pan are combined into a one piece drip bowl making it easy to clean and replace."
"Frameless Sliding Shower Door Top Bracket, 3/4 in., Flat Plastic Wheel, Steel Ball Bearings",Prime-Line,,,,,The Prime-Line Products Aluminum Roller Bracket for Sliding Frameless Shower Doors (2-Pack) allows you to easily operate shower doors. These brackets feature a beautiful polished chrome finish.
3 in. Center-to-Center Oil Rubbed Bronze Vanilla Pull,MNG Hardware,,,,,The Vanilla Pull by MNG Hardware features a beautiful beaded accent to today's popular design. Casted in High Density Zinc for durability and quality. Includes standard mounting hardware.
RJ45 Female to Female Indoor Network Coupler,Revo,,,,,"Revo RJ45 Female to Female Indoor Coupler is ideal for extending the connection between two CAT5e/CAT6 network cables. This RJ45 coupler is engineered to bring high performance in a compact design. This indoor coupler can be used in Video Surveillance, Automation Control, Voice/data networking and telecommunication applications."
Outdoor Living 8 oz. Sunset Acrylic Paint,Americana Decor,,,,,"Americana Decor Outdoor Living is a specially designed acrylic paint that delivers a durable, weather-resistant finish to both interior and exterior home decor projects. This advanced formulation does not require a sealer. It's the ideal paint for refurbishing patio furniture, deck boards, terra cotta pots, outdoor signs and more."
#38 High Speed Steel General Purpose Black Oxide Twist Drill Bit (12-Pack),Drill America,,,,,"Drill America DWDN Series General Purpose Drill Bit is a dependable, general purpose drill designed to perform in a broad range of materials in the iron and steel families. Ideal for production, maintenance or portable drilling jobs. Surface treated with abrasion-resistant black oxide. Black oxide treatment adds lubricity and creates small pockets on the surface of the tool that act to hold coolant near the cutting edge. Round shanks allow use with a wide variety of tool holding systems."
Fluted Square 3 in. (76 mm) Champagne Bronze Drawer Pull,Liberty,,,,,"The Fluted Square collection from Liberty brings a dynamic movement to your cabinetry with its subtle texturing. The fluting details are complimented by the classic champagne bronze tone adding flair and balance to your kitchen or bathroom. Update your cabinetry easily by adding the Fluted Square collection, square cabinet knob, elongated T knob and additional pull lengths available as well."
32 oz. 10W-30 Motor Oil,John Deere,,,,,"John Deere 32 oz. 10-Watt to 30-Watt Motor Oil is a 4-cycle, multi-viscosity oil engineered to stand up to high ambient temperatures. The oil is safety-tested and durable to ensure your tractor's engine stays well-lubricated."
Engine Crankshaft Seal fits 1976-1994 Plymouth Colt Arrow Laser,Timken,,,,,"The Timken Company engineers, manufactures and markets bearings, gear drives, belts, chain, couplings, lubrication systems and related products, and offers a spectrum of powertrain rebuild and repair services. As the leading authority on tapered roller bearings, we apply our deep knowledge of metallurgy, tribology and mechanical systems to improve the reliability and efficiency of equipment, machinery and vehicles worldwide. With more than 15,000 employees operating from 33 countries, our associates and our products keep industry in motion and make the world more productive."
8 oz. #380C-2 Desert Lily Semi-Gloss Enamel Stain-Blocking Interior/Exterior Paint and Primer Sample,BEHR DYNASTY,,,,,"Introducing the best of BEHR Paint. Featuring our most advanced stain repellency and unmatched scuff resistance to keep the surfaces of your projects looking newer longer, and fast-drying technology that will get you back to using your spaces quicker. All with one-coat hide guaranteed in over 1,000 colors. Our most durable, most stain repellent, most scuff resistant, one-coat hide paint ever.  Darker colors may require additional dry time between coats.  Cooler temperatures or higher humidity may prolong drying time.  Valid only when tinted to colors from the one coat hide color collection"
8 oz. #230F-7 Florence Brown Semi-Gloss Enamel Stain-Blocking Interior/Exterior Paint and Primer Sample,BEHR DYNASTY,,,,,"Introducing the best of BEHR Paint. Featuring our most advanced stain repellency and unmatched scuff resistance to keep the surfaces of your projects looking newer longer, and fast-drying technology that will get you back to using your spaces quicker. All with one-coat hide guaranteed in over 1,000 colors. Our most durable, most stain repellent, most scuff resistant, one-coat hide paint ever.  Darker colors may require additional dry time between coats.  Cooler temperatures or higher humidity may prolong drying time.  Valid only when tinted to colors from the one coat hide color collection"
